"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 03:56:47 MSK 2024","Mon Jun 10 03:57:13 MSK 2024","26069","tests","test_get_list_order","TestListOrder","","","Проверка получения списка заказов без указания id курьера",""
"passed","Mon Jun 10 03:56:44 MSK 2024","Mon Jun 10 03:56:45 MSK 2024","402","tests","test_create_courier","TestCreateCourier","","","Неудачная попытка создания курьера без указания пароля",""
"passed","Mon Jun 10 03:57:13 MSK 2024","Mon Jun 10 03:57:14 MSK 2024","503","tests","test_sign_in_courier","TestSignInCourier","","","Неудачная попытка авторизации курьера без указания пароля",""
"passed","Mon Jun 10 03:57:13 MSK 2024","Mon Jun 10 03:57:13 MSK 2024","192","tests","test_sign_in_courier","TestSignInCourier","","","Успешная авторизация курьера",""
"passed","Mon Jun 10 03:57:14 MSK 2024","Mon Jun 10 03:57:14 MSK 2024","300","tests","test_sign_in_courier","TestSignInCourier","","","Неудачная попытка авторизации еще не созданного курьера",""
"passed","Mon Jun 10 03:56:46 MSK 2024","Mon Jun 10 03:56:47 MSK 2024","294","tests","test_create_order","TestCreateOrder","","","Успешное создание заказа с разными параметрами цвета самоката",""
"passed","Mon Jun 10 03:56:45 MSK 2024","Mon Jun 10 03:56:46 MSK 2024","507","tests","test_create_order","TestCreateOrder","","","Успешное создание заказа с разными параметрами цвета самоката",""
"passed","Mon Jun 10 03:57:13 MSK 2024","Mon Jun 10 03:57:13 MSK 2024","329","tests","test_get_list_order","TestListOrder","","","Проверка получения списка заказов c несуществующим id курьера",""
"passed","Mon Jun 10 03:56:46 MSK 2024","Mon Jun 10 03:56:46 MSK 2024","381","tests","test_create_order","TestCreateOrder","","","Успешное создание заказа с разными параметрами цвета самоката",""
"passed","Mon Jun 10 03:56:46 MSK 2024","Mon Jun 10 03:56:46 MSK 2024","90","tests","test_create_order","TestCreateOrder","","","Успешное создание заказа с разными параметрами цвета самоката",""
"passed","Mon Jun 10 03:56:44 MSK 2024","Mon Jun 10 03:56:44 MSK 2024","401","tests","test_create_courier","TestCreateCourier","","","Успешное создание курьера",""
"passed","Mon Jun 10 03:56:45 MSK 2024","Mon Jun 10 03:56:45 MSK 2024","392","tests","test_create_courier","TestCreateCourier","","","Неудачная попытка создания уже созданного курьера",""
"passed","Mon Jun 10 03:56:46 MSK 2024","Mon Jun 10 03:56:46 MSK 2024","86","tests","test_create_order","TestCreateOrder","","","Успешное создание заказа с разными параметрами цвета самоката",""
